Where will I find how to apply for a leave on LMT?,Leave,LuisQnA
Leave application procedure on LMS,Leave,LuisQnA
What is the leave application procedure on LMT?,Leave,LuisQnA
I want to know about the leave application procedure on LMT.,Leave,LuisQnA
I would like to know about the leave application procedure on LMT.,Leave,LuisQnA
I want to know about the number of days that an employee can avail as part of vacation?,Leave,LuisQnA
I would like to know about the number of days that an employee can avail as part of vacation?,Leave,LuisQnA
How will I get to know about the number of days that an employee can avail as part of vacation?,Leave,LuisQnA
How will I find out about the number of days that an employee can avail as part of vacation?,Leave,LuisQnA
Whom should I get in contact to know the number of days that an employee can avail as part of vacation?,Leave,LuisQnA
Where will I get to know about the number of days that an employee can avail as part of vacation?,Leave,LuisQnA
What is the limit of the number of days that an employee can avail as part of paid leave?,Leave,LuisQnA
I would like to know the limit of the number of days that an employee can avail as part of vacation?,Leave,LuisQnA
I want to know the limit of the number of days that an employee can avail as part of vacation?,Leave,LuisQnA
Where will I get to know the limit of the number of days that an employee can avail as PTO?,Leave,LuisQnA
Where will I find the limit of the number of days that an employee can avail as part of vacation?,Leave,LuisQnA
What is Performance Achievement? ,Performance Achievement,LuisQnA
how priority is linked to performance?,Performance Achievement,LuisQnA
what is link to strength finder,Performance Achievement,LuisQnA
importance of meaningful conversation? ,Performance Achievement,LuisQnA
what is the new performance evaluation methodology?,Performance Achievement,LuisQnA
what is PA?,Performance Achievement,LuisQnA
How does knowing your priorities help deliver high performance? ,Performance Achievement,LuisQnA
what is priority?,Performance Achievement,LuisQnA
how do we set priority?,Performance Achievement,LuisQnA
am I suppose to share my priorities with other,Performance Achievement,LuisQnA
Where can I take Gallup Strength finder test?,Performance Achievement,LuisQnA
I donot know my strength,Performance Achievement,LuisQnA
who can tell me my strength,Performance Achievement,LuisQnA
how do we access strength,Performance Achievement,LuisQnA
whose product is strength finder?,Performance Achievement,LuisQnA
meaningful conversation,Performance Achievement,LuisQnA
future focused conversation,Performance Achievement,LuisQnA
more information required on meaningful conversation,Performance Achievement,LuisQnA
what is agenda of meaningful conversation?,Performance Achievement,LuisQnA
What is the Current recognition Guideline for AEIP?,Recruitment,LuisQnA
Who will be eligible for Recognizing Performance Points/ Online Vouchers?,Recruitment,LuisQnA
Where can I view my contribution for the year? The tool is not showing correct count.,Recruitment,LuisQnA
What is the time period for AEIP RnR disbursement?,Recruitment,LuisQnA
The AEIP rewards that I get are these taxable?,Recruitment,LuisQnA
How much worth vouchers are given for each interview?,Recruitment,LuisQnA
What is the Helpdesk mail id for BMS queries?,Recruitment,LuisQnA
Whom to contact when employee is not able to login to the BMS tool?,Recruitment,LuisQnA
Whom should you reach out you if there is a internship request with Company-ABC. ,Recruitment,LuisQnA
What is the guideline for Company-ABC to hire employees who are physically challenged?,Recruitment,LuisQnA
Does Company-ABC follows special guidelines for hiring PWD candidates?,Recruitment,LuisQnA
currently Company-ABC is hiring in which GU?,Recruitment,LuisQnA
Which GU is hiring right now?,Recruitment,LuisQnA
What is the process to claim Relocation expenses?,Recruitment,LuisQnA
what all expenses can I claim under relocation expense?,Recruitment,LuisQnA
can I claim my family's travel ticket under relocation expense?,Recruitment,LuisQnA
"my transporter has not provided me wish bill ,will I get relocation reimbursement?",Recruitment,LuisQnA
what things can I claim under relocation expense?,Recruitment,LuisQnA
What is the process to get company provided accommodation?,Recruitment,LuisQnA
who are eligible for family accommodation?,Recruitment,LuisQnA
What is ACE program ?What do I get if I win an ACE award?  ,Rewards & Recognition,LuisQnA
What do I get if I win a quarterly ACE award? ,Rewards & Recognition,LuisQnA
What is ACE program?,Rewards & Recognition,LuisQnA
What is ACE award meant for?,Rewards & Recognition,LuisQnA
What will I get if I receive ACE award?,Rewards & Recognition,LuisQnA
Who will eligible to receive ACE award?,Rewards & Recognition,LuisQnA
Will I get certificates for ACE award?,Rewards & Recognition,LuisQnA
I am on GCP and won ACE Award.Will I get certificate?,Rewards & Recognition,LuisQnA
Can I get my family for the felicitation ceremony of ACE award?,Rewards & Recognition,LuisQnA
How many family members can I get for the felicitation ceremony of the ACE awards?,Rewards & Recognition,LuisQnA
Will I get RP points for ACE award?,Rewards & Recognition,LuisQnA
Will I get a monetary award if I win ACE awards?,Rewards & Recognition,LuisQnA
How many felicitation ceremonies are held for ACE award distribution?,Rewards & Recognition,LuisQnA
Will there be an ACE award ceremony only in Bangalore?,Rewards & Recognition,LuisQnA
What is ACE program and frequency ?What do I get if I win an ACE award From where can I collect my rewards? ,Rewards & Recognition,LuisQnA
Total Frequency in an year for ACE awards,Rewards & Recognition,LuisQnA
How frequent ACE award is awarded to employees,Rewards & Recognition,LuisQnA
Any time frame for ACE Award offering.,Rewards & Recognition,LuisQnA
How common is ACE Award Frequency,Rewards & Recognition,LuisQnA
Recurrance of ACE Awards.,Rewards & Recognition,LuisQnA
I have been nominated for ACE Award once. Is there any Repetition?,Rewards & Recognition,LuisQnA
Is ACE award offered for a particular period.,Rewards & Recognition,LuisQnA
What is the ACE nomination criteria?,Rewards & Recognition,LuisQnA
How are Ace Awards judged with respect to criteria,Rewards & Recognition,LuisQnA
Are Ace Awards judged by someone in our team?,Rewards & Recognition,LuisQnA
Any Particular criteria for offering Ace Awards,Rewards & Recognition,LuisQnA
Ace Awards are  judged on what skills.,Rewards & Recognition,LuisQnA
"What could be the reason if I am in ITP or AG Holding, but unable to access IJP? ",Staffing,LuisQnA
"Where should a resource report if the current lock status is ""Premature Roll-off""",Staffing,LuisQnA
What are the guidelines of roll off after 18 months of being in the project?,Staffing,LuisQnA
Where can I check my lock status? ,Staffing,LuisQnA
Where can I know my roll-off date?,Staffing,LuisQnA
Where can the employee know about premature roll off? ,Staffing,LuisQnA
What to do if my name is not reflecting in the Bench list.,Staffing,LuisQnA
When will I receive intimation about movement to ITP post foundation training?,Staffing,LuisQnA
When will I be staffed on a project? ,Staffing,LuisQnA
Where can I procure some software to exercise my technical skills while on ITP? ,Staffing,LuisQnA
"While in ITP or Ag holding , is it necessary that I report to office every day? ",Staffing,LuisQnA
Where will I be seated while I am aligned to ITP? ,Staffing,LuisQnA
Who is my supervisor while on ITP? ,Staffing,LuisQnA
"What is my DU, who is my DU lead and PA Support representative while in ITP or Ag holding? ",Staffing,LuisQnA
Who can I reach out to in case I would like to go on leave?,Staffing,LuisQnA
who will approve my leave while on bench?,Staffing,LuisQnA
do ITP employees need to take approval before going on leaves?,Staffing,LuisQnA
how many leaves ITP employees can take?,Staffing,LuisQnA
ITP employee leaves who approves,Staffing,LuisQnA
do ITP employee need to have sufficient leave balance to avail leaves?,Staffing,LuisQnA
can ITP employee take leaves?,Staffing,LuisQnA
I am an ITP employee can I take leave for family function?,Staffing,LuisQnA
Where should I charge time when I am in ITP or Ag holding ?,Staffing,LuisQnA
